SKU,Product Title,QTY,Expiring QTY,Days till Expiration,Sell Out in Days,Unit Cost,Retail Price,Net Weight,Unit Gross Weight (g),Vendor-L,Farm Level,Product Type,Cacaonum,Allergens,Awards,Chocolate Type,Diet Icons,Exceeds Sellout,Source Country,Inclusion or Flavor,Tags-L
A-MVE-259,Maeve Cafe Latte Crunch Truffle Bar,22,22,334,"1,980",$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts",,"Milk,Truffle,Inclusions","Kosher Dairy,No Gluten,No Tree Nuts","1,646",,Coffee,
A-MVE-260,Maeve 14-Carrot Cake Truffle White & MIlk Bar,27,27,301,,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Contains Tree Nuts,Trace Gluten,Trace Sesame",,"Filled,Milk,White,Inclusions","Kosher Dairy,No Gluten",-301,,Nuts,
A-MVE-261,Maeve Block Party Brownie Dark & White Truffle Bar,40,40,347,"3,600",$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts",,"Filled,White,Dark,Inclusions,Truffle","Kosher Dairy,No Gluten,No Tree Nuts","3,253",,,
A-MVE-262,Maeve Hungry Blackberry Truffle Bar,32,32,347,720,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts",,"Filled,White,Dark,Inclusions,Truffle","Kosher Dairy,No Gluten,No Tree Nuts",373,,"Fruit,Berries",
A-MVE-263,Maeve Matinee Malt Balls Truffle Bar,22,22,327,660,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Sesame,Trace Tree Nuts,Contains Gluten",,"Milk,Truffle,Inclusions","Kosher Dairy,No Tree Nuts",333,,,
A-MVE-265,Maeve Forbidden Fruits Truffle Bar - Coconut & Pineapple,36,36,321,463,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts,Trace Dairy",,"Filled,Dark,Inclusions,Truffle","No Tree Nuts,No Gluten,No Dairy",141.86,,"Fruit,Pineapple",valentinesday
A-MVE-266,Maeve Peanut Butter Banana Affair Truffle Bar,13,13,356,90,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts,Contains Peanuts",,"Filled,White,Dark,Inclusions,Truffle","Kosher Dairy,No Gluten,No Tree Nuts",-266,,"Nuts,Fruit,Peanut",valentinesday
A-MVE-267,Maeve Cherry Bomb Milk & White Truffle Bar,39,39,329,,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts",,"Milk,Truffle,Inclusions,White","Kosher Dairy,No Tree Nuts,No Gluten",-329,,"Fruit,Cherry",
A-OMN-100,Omnom Nicaragua 73%,25,25,554,161,$4.99,$10.00,60,79.38,Omnom,"Farm 1,Farm 2",Chocolate Bars,73,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Plain","Organic Cacao,Vegan+",-393.29,Nicaragua,,"marginlow,mcountry-Iceland,nutty,region-Waslala"
A-OMN-201,Omnom Caramel 50%,11,11,340,99,$4.49,$10.00,60,79.38,Omnom,"Farm 1,Farm 2",Chocolate Bars,50,"Contains Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Inclusions,Milk","Organic Cacao,No Gluten,No Soy,No Tree Nuts",-241,Nicaragua,,"marginlow,mcountry-Iceland,region-Waslala"
A-OMN-203,Omnom Sea Salted Almonds + Milk 45%,18,18,203,270,$4.99,$10.00,60,79.38,Omnom,"Farm 1,Farm 2",Chocolate Bars,45,"Contains Dairy,Trace Peanuts,Sesame Free,Soy Free,Contains Tree Nuts,Trace Gluten",,"Inclusions,Milk","Organic Sugar,No Gluten,No Soy",67,Madagascar,Nuts,"estate-Akesson,marginlow,mcountry-Iceland,region-Sambirano Valley"
A-ORF-100,Orfeve Dark Quillabamba Peru 70%,61,13,462,239,$4.43,$15.00,70,85.05,Orfeve,,Chocolate Bars,70,"Dairy Free,Peanut Free,Soy Free,Tree Nut Free,Gluten Free,Sesame Free",,"Plain,Dark","Organic+,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-223.3,Peru,,
A-ORF-101,Orfeve Dark L'Esterre Grenada 70%,77,53,462,347,$4.43,$15.00,70,85.05,Orfeve,,Chocolate Bars,70,"Dairy Free,Peanut Free,Soy Free,Tree Nut Free,Gluten Free,Sesame Free",,"Plain,Dark","Organic+,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-115.5,Grenada,,
A-ORF-102,Orfeve Dark Alto Piura Peru 75%,213,33,462,"1,278",$4.43,$15.00,70,85.05,Orfeve,,Chocolate Bars,75,"Dairy Free,Peanut Free,Soy Free,Tree Nut Free,Gluten Free,Sesame Free",,"Plain,Dark","Organic+,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",816,Peru,,
A-PRA-102,Pralus Madagascar 75%,363,363,920,545,$4.85,$14.00,100,113.4,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-375.5,Madagascar,,"marginmid,mcountry-France,region-Sambirano Valley"
A-PRA-103,Pralus Colombie 75%,18,18,706,147,$4.82,$14.00,100,113.4,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Trace Peanuts,Sesame Free,Trace Tree Nuts,Soy Free,Gluten Free",,"Dark,Plain","Vegan,No Gluten,No Tree Nuts,No Dairy,No Soy",-558.73,Colombia,,"bold,marginmid,mcountry-France"
A-PRA-105,Pralus Melissa Milk 45%,189,45,737,587,$4.82,$14.00,100,113.4,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,45,"Contains Dairy,Trace Peanuts,Sesame Free,Trace Soy,Trace Tree Nuts,Gluten Free",,"Milk,Plain","EU Organic,No Gluten,No Soy,No Tree Nuts",-150.45,Indonesia,,"marginmid,mcountry-France"
A-PRA-106,Pralus Fortissima 80%,251,107,737,348,$4.82,$14.00,100,113.4,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Trace Peanuts,Sesame Free,Trace Soy,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-389.46,Blend,,"marginmid,mcountry-France"
A-PRA-107,Pralus Perou 75%,50,50,951,300,$4.85,$14.00,100,113.4,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Trace Peanuts,Sesame Free,Contains Soy,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Non GMO,Vegan,No Gluten,No Tree Nuts,No Dairy",-651,Peru,,"fruity,marginmid,mcountry-France"
A-PRA-109,Pralus Dominican Republic 75%,50,14,737,346,$4.82,$14.00,100,113.4,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Trace Peanuts,Sesame Free,Contains Soy,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Vegan,No Gluten,No Tree Nuts,No Dairy",-390.85,Dominican Republic,,"marginmid,mcountry-France"
A-PRA-110,Pralus Ecuador 75%,86,14,737,242,$4.82,$14.00,100,113.4,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Trace Peanuts,Sesame Free,Trace Tree Nuts,Soy Free,Gluten Free",,"Dark,Plain","Vegan,No Gluten,No Tree Nuts,No Dairy,No Soy",-495.13,Ecuador,,"marginmid,mcountry-France,nutty"
A-PRA-111,Pralus Ghana 75%,205,205,951,802,$4.85,$14.00,100,113.4,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Trace Peanuts,Sesame Free,Trace Tree Nuts,Soy Free,Gluten Free",,"Dark,Plain","Vegan,No Tree Nuts,No Dairy,No Soy,No Gluten",-148.83,Ghana,,"fudgy,marginmid,mcountry-France"
A-PRA-200,Pralus Mini Pyramide des Tropiques,111,111,615,400,$4.75,$12.50,50,61.23,Francois Pralus,"Farm 1,Farm 2",Mini Squares,75,"Trace Dairy,Peanut Free,Sesame Free,Contains Soy,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Non GMO,Vegan,No Gluten,No Tree Nuts,No Dairy",-215.4,Blend,,"fudgy,Gifts,marginmid,mcountry-France,stocking-stuffer"
A-PRA-201,Pralus Infernale Noir Praline Bar,57,15,432,366,$9.84,$28.00,160,176.9,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Contains Peanuts,Sesame Free,Soy Free,Contains Tree Nuts,Gluten Free",,"Dark,Filled,Inclusions","No Gluten,No Soy,No Dairy",-65.57,Blend,"Nuts,Praline","marginmid,mcountry-France,stocking-stuffer"
A-PRA-203,Pralus Infernale Pistache Praline Bar 75%,114,51,432,540,$11.03,$30.00,160,176.9,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,75,"Trace Dairy,Sesame Free,Soy Free,Contains Tree Nuts,Gluten Free,Trace Peanuts",,"Dark,Filled,Inclusions","No Gluten,No Soy,No Dairy",108,Blend,"Nuts,Pistachio,Praline","marginmidplus,mcountry-France,stocking-stuffer,valentinesday"
A-PRA-204,Pralus Infernale Milk Praline Bar,61,19,432,549,$9.84,$27.00,160,176.9,Francois Pralus,"Farm 1,Farm 2",Chocolate Bars,45,"Contains Dairy,Trace Peanuts,Sesame Free,Soy Free,Contains Tree Nuts,Gluten Free",,"Filled,Inclusions,Milk","No Gluten,No Soy",117,Blend,"Nuts,Praline","marginmidplus,mcountry-France,stocking-stuffer"
A-PRA-600,Pralus Napolitans of the Tropics (20 pieces),51,51,646,242,$7.22,$21.00,100,136.08,Francois Pralus,"Farm 1,Farm 2",Mini Squares,75,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-404.42,,,"fudgy,marginmidplus,mcountry-France,stocking-stuffer"
A-PRA-601,Pralus Napolitans Organic Vintages (20 pieces),36,36,646,463,$7.66,$23.00,100,136.08,Francois Pralus,"Farm 1,Farm 2",Mini Squares,75,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Organic Cacao,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-183.14,,,"marginmidplus,mcountry-France,stocking-stuffer"
A-PSC-101,Pump Street Sourdough & Sea Salt 66%,122,122,220,157,$5.30,$12.00,70,81.65,Pump Street,"Farm 1,Farm 2",Chocolate Bars,66,"Trace Dairy,Trace Peanuts,Trace Sesame,Soy Free,Trace Tree Nuts,Contains Gluten",AOC silver 2021,"Dark,Inclusions,Salt","Vegan,No Soy,No Tree Nuts,No Dairy",-63.14,Ecuador,,"estate-Hacienda Limon,has-award,marginlow,marginmid,mcountry-United Kingdom,region-Cotopaxi,wonderful"
A-PSC-200,"Pump Street Rye Crumb, Milk & Sea Salt 60%",77,77,371,193,$5.30,$12.00,70,81.65,Pump Street,"Farm 1,Farm 2",Chocolate Bars,60,"Contains Dairy,Trace Peanuts,Trace Sesame,Soy Free,Trace Tree Nuts,Contains Gluten","AOC gold 2015,AOC gold 2021","Dark Milk,Inclusions,Milk,Salt","No Soy,No Tree Nuts",-178.5,Ecuador,,"estate-Hacienda Limon,has-award,marginlow,marginmid,mcountry-United Kingdom,nutty,region-Cotopaxi,specialty"
A-PSC-204,Pump Street Croissant Bar (Limited Edition) 62%,33,33,159,57,$5.30,$12.00,70,81.65,Pump Street,"Farm 1,Farm 2",Chocolate Bars,62,"Contains Dairy,Trace Peanuts,Trace Sesame,Soy Free,Trace Tree Nuts,Contains Gluten",,"Inclusions,Milk","No Soy,No Tree Nuts",-101.88,Ecuador,,"estate-Hacienda Victoria,marginmid,mcountry-United Kingdom,nutty,region-Guayas,wonderful"
A-PSC-206,Pump Street Dark Milk Cookie Chip 60%,23,23,159,44,$5.30,$12.00,70,81.65,Pump Street,"Farm 1,Farm 2",Chocolate Bars,60,"Contains Dairy,Peanut Free,Trace Sesame,Soy Free,Trace Tree Nuts,Contains Gluten",AOC silver 2023,"Dark Milk,Inclusions","No Soy,No Tree Nuts",-114.96,Ecuador,,"estate-Hacienda Victoria,mcountry-United Kingdom"
A-PUR-200,Pure Chocolate Dark w/ Cinnamon 70%,20,20,462,180,$3.65,$11.00,60,60,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",ICA silver 2023,"Dark,Flavored","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-282,Jamaica,Spice,"has-award,mcountry-Jamaica"
A-PUR-201,Pure Chocolate Dark Milk w/ Coconut 57%,20,20,462,360,$3.65,$11.00,60,60,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,57,"Trace Peanuts,Sesame Free,Trace Soy,Contains Tree Nuts,Trace Gluten,Contains Dairy",,"Dark Milk,Inclusions","No Gluten,No Soy",-102,Jamaica,,mcountry-Jamaica
A-PUR-202,Pure Chocolate Dark w/ Coffee 70%,27,27,462,486,$3.65,$11.00,60,60,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Flavored","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",24,Jamaica,Coffee,mcountry-Jamaica
A-PUR-203,Pure Chocolate Dark w/ Lemongrass 70%,25,25,462,750,$3.65,$11.00,60,60,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Flavored","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",288,Jamaica,,mcountry-Jamaica
A-PUR-204,Pure Chocolate Dark w/ Jerk Seasoning 70%,39,39,462,702,$3.65,$11.00,60,60,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten","AOC gold 2021,ICA silver 2023","Dark,Flavored","No Gluten,No Soy,No Tree Nuts,No Dairy",240,Jamaica,Spice,"BTGO,has-award,mcountry-Jamaica"
A-PUR-205,Pure Chocolate White w/ Banana & Sweet Potato Chips,37,37,462,476,$3.65,$11.00,60,60,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Flavored,Inclusions,White","No Gluten,No Soy,No Tree Nuts,No Dairy",13.71,Jamaica,Fruit,"BTGO,mcountry-Jamaica"
A-PUR-206,Pure Chocolate Milk w/ Ginger & Speculaas Spice,27,27,462,810,$3.65,$11.00,60,60,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,,"Contains Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Flavored,Inclusions,Milk","No Gluten,No Soy,No Tree Nuts",348,Jamaica,Spice,mcountry-Jamaica
A-PUR-207,Pure Chocolate Dark w/ Worthy Park Rum 65% (Special Edition),72,72,462,405,$3.65,$11.00,60,60,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,65,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",AOC silver 2023,"Dark,Flavored,Inclusions","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-57,Jamaica,Alcohol,"BTGO,has-award,mcountry-Jamaica"
A-PUR-209,Pure Chocolate Milk Chocolate w/ Cookies & Cream,41,41,462,923,$3.65,$11.00,60,60.1,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,45,"Contains Dairy,Contains Gluten,Trace Tree Nuts,Trace Peanuts,Sesame Free,Trace Soy",,"Milk,Inclusions","No Soy,No Tree Nuts",460.5,Jamaica,,"BTGO,mcountry-Jamaica"
A-PUR-210,Pure Chocolate Smoked Dark w/ Caramelized Bacon,40,40,462,600,$3.65,$11.00,60,60.1,Pure Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,70,"Trace Peanuts,Trace Tree Nuts,Trace Dairy,Trace Gluten,Soy Free,Sesame Free",,"Dark,Inclusions","No Gluten,No Soy,No Tree Nuts,No Dairy",138,Jamaica,,"BTGO,mcountry-Jamaica"
A-QAN-100,Qantu Chocolate Chuncho 70%,46,46,220,122,$6.11,$15.00,50,61.23,Qantu,"Farm 1,Farm 2",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free","AOC gold 2018,AOC gold 2019,AOC gold 2020,AOC silver 2017,AOC silver 2021,AOC silver 2022,AOC silver 2023,ICA silver 2018,ICA silver 2020","Dark,Plain","Organic+,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-98.24,Peru,,"fruity,has-award,marginmid,mcountry-Canada,region-Ayacucho"
A-QAN-101,Qantu Chocolate Gran Blanco 70%,51,51,340,177,$5.66,$15.00,50,61.23,Qantu,"Farm 1,Farm 2",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free","AOC gold 2017,AOC gold 2018,AOC gold 2020,AOC silver 2022,ICA silver 2018,ICA silver 2020","Dark,Plain","Organic+,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-163.46,Peru,,"estate-Norandino Cooperative,fruity,has-award,marginmid,mcountry-Canada,region-Piura"
A-QAN-102,Qantu Chocolate Morropon 70%,62,62,340,143,$5.66,$15.00,50,61.23,Qantu,"Farm 1,Farm 2",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free","AOC gold 2017,AOC gold 2018,AOC gold 2019,AOC gold 2020,AOC gold 2021,AOC silver 2022,AOC silver 2023,ICA silver 2020,ICA silver 2022,ICA silver 2023","Dark,Plain","Organic+,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-196.92,Peru,,"estate-Norandino Cooperative,fruity,has-award,marginmid,mcountry-Canada,region-Piura"
A-QAN-103,Qantu Chocolate Bagua 70%,27,27,401,84,$5.66,$15.00,50,61.23,Qantu,"Farm 1,Farm 2",Chocolate Bars,70,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free","AOC gold 2018,AOC gold 2021,AOC silver 2020,AOC silver 2023,ICA silver 2019,ICA silver 2020","Dark,Plain","Organic+,Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-317.21,Peru,,"estate-Norandino Cooperative,fruity,has-award,marginmid,mcountry-Canada,region-Amazonas,region-Piura"
A-QAN-105,Qantu Chocolate Don Maximo's Quest 80% (Limited),60,60,269,193,$5.66,$15.00,50,61.23,Qantu,"Farm 1,Farm 2",Chocolate Bars,80,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",AOC silver 2021,"Dark,Plain","Organic+,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-76.14,Peru,,"estate-Bellavista,fruity,has-award,marginmid,mcountry-Canada,overstock-more,region-Cuzco"
A-QAN-108,Qantu Dark MIlk Chocolate Oh La Vache! 60%,35,35,340,109,$6.11,$15.00,50,61.23,Qantu,"Farm 1,Farm 2",Chocolate Bars,60,"Contains Dairy,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free,Trace Peanuts","AOC silver 2023,ICA gold 2020","Dark Milk,Plain","No Soy,No Tree Nuts,No Gluten",-231.38,Peru,,"has-award,marginmid,mcountry-Canada"
A-QAN-200,Qantu Chocolate Maras Maple & Fleur de Sel 60%,19,19,312,171,$6.11,$15.00,50,61.23,Qantu,"Farm 1,Farm 2",Chocolate Bars,60,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free","ICA silver 2017,ICA silver 2022","Dark,Inclusions,Salt","No Refined Sugar,Organic Cacao,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-141,Peru,,"fruity,has-award,marginmid,mcountry-Canada,region-Ayacucho"
A-RAA-100,Raaka Bourbon Cask Aged 82%,48,15,280,309,$3.64,$8.00,50,52.16,Raaka,"Farm 1,Farm 2",Chocolate Bars,82,"Dairy Free,Peanut Free,Trace Sesame,Soy Free,Tree Nut Free,Gluten Free",,"Dark,Flavored,Plain,Raw","Kosher NFC,USDA Organic,Keto Friendly,Kosher,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",28.57,Bolivia,Alcohol,"dadsday,estate-Kokoa Kamili,estate-Maya Mountain Cacao,marginmidplus,mcountry-United States,region-Morogoro"
A-RAA-102,Raaka Maple & Nibs 75%,11,11,462,198,$3.27,$8.00,50,52.16,Raaka,"Farm 1,Farm 2",Chocolate Bars,75,"Dairy Free,Peanut Free,Trace Sesame,Soy Free,Tree Nut Free,Gluten Free",,"Dark,Flavored,Raw","Kosher NFC,USDA Organic,Keto Friendly,Kosher,No Refined Sugar,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-264,Blend,Nibs,"estate-Semuliki Forest,marginmidplus,mcountry-United States,region-Bundibugyo"
A-RAA-103,Raaka Pink Sea Salt 71%,28,28,462,180,$2.94,$7.25,50,52.16,Raaka,"Farm 1,Farm 2",Chocolate Bars,71,"Dairy Free,Peanut Free,Trace Sesame,Soy Free,Tree Nut Free,Gluten Free",,"Dark,Flavored,Raw,Salt","Kosher NFC,USDA Organic,Kosher,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-282,Blend,,"estate-Reserva Zorzal,expiring-later,fruity,marginmidplus,mcountry-United States,region-Duarte,valentinesday"
A-RAA-203,Raaka Banana Foster 66%,42,42,462,222,$2.92,$8.00,50,52.16,Raaka,"Farm 1,Farm 2",Chocolate Bars,66,"Dairy Free,Peanut Free,Trace Sesame,Soy Free,Tree Nut Free,Gluten Free",,"Dark,Flavored,Raw","Kosher NFC,USDA Organic,Kosher,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-239.65,Peru,Nibs,"estate-CAC Pangoa,marginmidplus,mcountry-United States,region-Junín"
A-RAA-205,Raaka Momofuku Chili Chocolate 54% (Limited),31,19,371,"1,395",$4.05,$9.00,56,59.53,Raaka,"Farm 1,Farm 2",Chocolate Bars,54,"Dairy Free,Peanut Free,Contains Sesame,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Inclusions,Raw","Kosher NFC,USDA Organic,Kosher,Vegan+","1,024",Dominican Republic,Spice,"estate-Reserva Zorzal,marginmidplus,mcountry-United States"
A-RAA-207,Raaka Green Tea Crunch 66%,46,22,401,690,$3.05,$8.00,50,52.16,Raaka,"Farm 1,Farm 2",Chocolate Bars,66,"Dairy Free,Peanut Free,Trace Sesame,Soy Free,Tree Nut Free,Gluten Free",,"Dark,Flavored,Inclusions,Raw","Kosher NFC,USDA Organic,Kosher,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",289,Congo,,"earthy,estate-Reserva Zorzal,marginmidplus,mcountry-United States,region-Duarte"
A-RAA-210,Raaka White Chocolate Cookies & Cream 31%,21,21,312,378,$3.28,$9.00,50,56.7,Raaka,"Farm 1,Farm 2",Chocolate Bars,31,"Dairy Free,Trace Sesame,Soy Free,Gluten Free,Peanut Free,Tree Nut Free",,"Inclusions,White","Kosher NFC,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",66,Peru,,"mcountry-United States,region-San Martin"
A-RAA-211,Raaka White Chocolate Strawberry & Cream 29%,27,27,312,347,$3.28,$9.00,50,56.7,Raaka,"Farm 1,Farm 2",Chocolate Bars,29,"Dairy Free,Trace Sesame,Soy Free,Gluten Free,Peanut Free,Tree Nut Free",,"Inclusions,White","Kosher NFC,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",35.14,Peru,"Fruit,Berries","mcountry-United States,region-San Martin"
A-RAA-250,Raaka Vanilla Waffle Cone 61%,52,32,250,"2,340",$2.12,$5.50,28,28.35,Raaka,"Farm 1,Farm 2",Chocolate Bars,61,"Dairy Free,Trace Sesame,Soy Free,Gluten Free,Peanut Free,Tree Nut Free",,"Dark,Inclusions,Raw","Kosher NFC,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy","2,090",Uganda,,"estate-Semuliki Forest,fudgy,marginmidplus,mcountry-United States,region-Bundibugyo"
A-RAA-252,Raaka Matcha Waffle Cone 40%,66,36,250,"5,940",$2.12,$5.50,28,28.35,Raaka,"Farm 1,Farm 2",Chocolate Bars,40,"Dairy Free,Trace Sesame,Soy Free,Gluten Free,Peanut Free,Tree Nut Free",,"Inclusions,White","Kosher NFC,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy","5,690",Peru,,"BTGO,expiring-later,marginmidplus,mcountry-United States"
A-RHY-101,Rhyme and Reason Dark Thailand 72%,14,14,462,630,$4.50,$10.00,50,52.45,Rhyme And Reason,,Chocolate Bars,72,"Trace Dairy,Trace Peanuts,Trace Sesame,Trace Soy,Trace Tree Nuts,Trace Gluten",,"Dark,Plain","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",168,Thailand,,"mcountry-United States,region-Chanthaburi"
A-RHY-203,Rhyme and Reason Dark & White Passionfruit Chocolate,23,23,281,690,$4.50,$10.00,0,52.45,Rhyme And Reason,,Chocolate Bars,,"Trace Dairy,Trace Peanuts,Trace Sesame,Trace Soy,Trace Tree Nuts,Trace Gluten",,"Dark,Inclusions,White","No Gluten,No Soy,No Tree Nuts,No Dairy",409,,Fruit,mcountry-United States
A-RIT-101,Ritual Ecuador 75%,113,113,646,275,$4.13,$11.25,60,86.18,Ritual Chocolate,"Farm 1,Farm 2",Chocolate Bars,75,"Dairy Free,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Plain","Organic Sugar,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-371.14,Ecuador,,"estate-Camino Verde,marginlow,marginmid,mcountry-United States,nutty,region-Guayas"
A-RIT-102,Ritual Belize 75%,41,17,370,160,$4.95,$11.25,64,86.18,Ritual Chocolate,"Farm 1,Farm 2",Chocolate Bars,75,"Dairy Free,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",AOC silver 2018,"Dark,Plain","Organic Sugar,Organic+,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-209.57,Belize,,"estate-Maya Mountain Cacao,fruity,has-award,marginlow,marginmid,mcountry-United States,region-Toledo"
