SKU,Product Title,QTY,Expiring QTY,Days till Expiration,Sell Out in Days,Unit Cost,Retail Price,Net Weight,Unit Gross Weight (g),Vendor-L,Farm Level,Product Type,Cacaonum,Allergens,Awards,Chocolate Type,Diet Icons,Exceeds Sellout,Source Country,Inclusion or Flavor,Tags-L
A-KAN-101,KanVela Klong Loi Origin Dark 72%,173,77,292,"1,730",$2.85,$11.00,60,60,KanVela,"Farm 1,Farm 2,Farm 3,Farm 4",Chocolate Bars,72,"Trace Dairy,Peanut Free,Trace Sesame,Trace Soy,Trace Tree Nuts,Trace Gluten",AOC silver 2023,"Dark,Plain","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy,Halal","1,438",,,"BTGO,mcountry-Thailand"
A-KAN-102,KanVela Chiang Mai Origin Dark 70%,190,190,951,"2,443",$2.85,$11.00,60,60,KanVela,"Farm 1,Farm 2,Farm 3,Farm 4",Chocolate Bars,70,"Trace Dairy,Peanut Free,Trace Sesame,Trace Soy,Trace Tree Nuts,Trace Gluten",AOC silver 2023,"Dark,Plain","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy,Halal","1,491.86",,,mcountry-Thailand
A-KAN-200,KanVela Mocha Dark Milk w/ Crispy Rice 58%,110,50,317,"1,414",$2.85,$11.00,60,60,KanVela,"Farm 1,Farm 2,Farm 3,Farm 4",Chocolate Bars,58,"Contains Dairy,Peanut Free,Trace Sesame,Trace Soy,Trace Tree Nuts,Trace Gluten",AOC silver 2021,"Dark Milk,Flavored","No Gluten,No Soy,No Tree Nuts,Halal","1,097.29",Thailand,Coffee,mcountry-Thailand
A-KAN-203,KanVela Salted Caramel Toast White Chocolate w/ Rice Cracker,205,109,317,"9,225",$2.85,$11.00,60,60,KanVela,"Farm 1,Farm 2,Farm 3,Farm 4",Chocolate Bars,50,"Contains Dairy,Peanut Free,Trace Sesame,Trace Soy,Trace Tree Nuts,Trace Gluten",AOC silver 2023,"Flavored,Inclusions,White","No Gluten,No Soy,No Tree Nuts,Halal","8,908",Thailand,,mcountry-Thailand
A-KAN-204,KanVela Honey Milk Chocolate w/ Riceberry Cracker,52,16,339,585,$2.85,$11.00,60,60,KanVela,"Farm 1,Farm 2,Farm 3,Farm 4",Chocolate Bars,,"Contains Dairy,Peanut Free,Trace Sesame,Trace Soy,Trace Tree Nuts,Trace Gluten",,"Flavored,Inclusions,Milk","No Gluten,No Soy,No Tree Nuts,Halal",246,,,"expiring-now,mcountry-Thailand,overstock-more"
A-KAN-205,KanVela White Chocolate w/ Mango & Coconut Milk 44%,120,24,317,600,$2.85,$11.00,60,60,KanVela,"Farm 1,Farm 2,Farm 3,Farm 4",Chocolate Bars,44,"Contains Sesame,Contains Soy,Trace Dairy,Trace Gluten,Trace Tree Nuts,Peanut Free",AOC silver 2023,"White,Inclusions","Vegan,No Gluten,No Tree Nuts,No Dairy",283,Thailand,Fruit,mcountry-Thailand
A-KAN-206,Kanvela Milk Chocolate Southern Thai Tea w/ Crispy Roti 55%,105,105,585,326,$2.85,$11.00,60,60,KanVela,"Farm 1,Farm 2,Farm 3,Farm 4",Chocolate Bars,55,"Contains Dairy,Trace Gluten,Trace Sesame,Trace Soy,Trace Tree Nuts,Peanut Free",AOC silver 2024,"Milk,Flavored,Inclusions","No Gluten,No Soy,No Tree Nuts,Halal",-259.14,Thailand,Tea,"has-award,mcountry-Thailand"
A-LOO-201,Loon Chocolate Milk Maple Crunch 50%,87,63,219,392,$4.16,$10.00,64,70.87,Loon Chocolate,"Farm 1,Farm 2",Chocolate Bars,50,"Contains Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Flavored,Inclusions,Milk","No Gluten,No Soy,No Tree Nuts",172.5,,,"marginhigh,mcountry-United States,overstock-more"
A-LUI-100,Luisa Abram Rio Acará Wild Cocoa 81%,58,46,859,475,$7.55,$16.75,80,90.72,Luisa Abram,"Farm 3,Farm 1,Farm 2",Chocolate Bars,81,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Organic Sugar,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-384.45,Brazil,,"fruity,marginlow,marginmid,mcountry-Brazil,region-Para"
A-LUI-102,Luisa Abram Rio Purús Wild Cocoa 81%,167,47,828,791,$6.29,$14.00,80,99.79,Luisa Abram,"Farm 3,Farm 1,Farm 2",Chocolate Bars,81,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",AOC silver 2018,"Dark,Plain","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-36.95,Brazil,,"fruity,has-award,marginlow,marginmid,mcountry-Brazil,region-Acre"
